REGISTRY_NAME,DISPLAY_NAME
<actuallyadditions:block_colored_lamp:14>,Red Lamp
<actuallyadditions:block_colored_lamp:15>,Black Lamp
<actuallyadditions:block_colored_lamp_on>,White Lamp
<actuallyadditions:block_colored_lamp_on:1>,Orange Lamp
<actuallyadditions:block_colored_lamp_on:2>,Magenta Lamp
<actuallyadditions:block_colored_lamp_on:3>,Light Blue Lamp
<actuallyadditions:block_colored_lamp_on:4>,Yellow Lamp
<actuallyadditions:block_colored_lamp_on:5>,Lime Lamp
<actuallyadditions:block_colored_lamp_on:6>,Pink Lamp
<actuallyadditions:block_colored_lamp_on:7>,Gray Lamp
<actuallyadditions:block_colored_lamp_on:8>,Light Gray Lamp
<actuallyadditions:block_colored_lamp_on:9>,Cyan Lamp
<actuallyadditions:block_colored_lamp_on:10>,Purple Lamp
<actuallyadditions:block_colored_lamp_on:11>,Blue Lamp
<actuallyadditions:block_colored_lamp_on:12>,Brown Lamp
<actuallyadditions:block_colored_lamp_on:13>,Green Lamp
<actuallyadditions:block_colored_lamp_on:14>,Red Lamp
<actuallyadditions:block_colored_lamp_on:15>,Black Lamp
<actuallyadditions:block_compost>,Compost
<actuallyadditions:block_crystal>,Restonia Crystal Block
<actuallyadditions:block_crystal:1>,Palis Crystal Block
<actuallyadditions:block_crystal:2>,Diamatine Crystal Block
<actuallyadditions:block_crystal:3>,Void Crystal Block
<actuallyadditions:block_crystal:4>,Emeradic Crystal Block
<actuallyadditions:block_crystal:5>,Enori Crystal Block
<actuallyadditions:block_crystal_cluster_coal>,Black Crystal Cluster
<actuallyadditions:block_crystal_cluster_diamond>,Light Blue Crystal Cluster
<actuallyadditions:block_crystal_cluster_emerald>,Green Crystal Cluster
<actuallyadditions:block_crystal_cluster_iron>,White Crystal Cluster
<actuallyadditions:block_crystal_cluster_lapis>,Blue Crystal Cluster
<actuallyadditions:block_crystal_cluster_redstone>,Red Crystal Cluster
<actuallyadditions:block_crystal_empowered>,Empowered Restonia Crystal Block
<actuallyadditions:block_crystal_empowered:1>,Empowered Palis Crystal Block
<actuallyadditions:block_crystal_empowered:2>,Empowered Diamatine Crystal Block
<actuallyadditions:block_crystal_empowered:3>,Empowered Void Crystal Block
<actuallyadditions:block_crystal_empowered:4>,Empowered Emeradic Crystal Block
<actuallyadditions:block_crystal_empowered:5>,Empowered Enori Crystal Block
<actuallyadditions:block_crystal_oil>,Crystallized Oil
<actuallyadditions:block_directional_breaker>,Long-Range Breaker
<actuallyadditions:block_display_stand>,Display Stand
<actuallyadditions:block_dropper>,Automatic Precision Dropper
<actuallyadditions:block_empowered_oil>,Empowered Oil
<actuallyadditions:block_empowerer>,Empowerer
<actuallyadditions:block_energizer>,Energizer
<actuallyadditions:block_enervator>,Enervator
<actuallyadditions:block_farmer>,Farmer
<actuallyadditions:block_feeder>,Automatic Feeder
<actuallyadditions:block_fermenting_barrel>,Fermenting Barrel
<actuallyadditions:block_firework_box>,Firework Box
<actuallyadditions:block_fishing_net>,Fishing Net
<actuallyadditions:block_flax>,Flax Plant
<actuallyadditions:block_fluid_collector>,Fluid Collector
<actuallyadditions:block_fluid_placer>,Fluid Placer
<actuallyadditions:block_furnace_double>,Powered Furnace
<actuallyadditions:block_furnace_solar>,Solar Panel
<actuallyadditions:block_giant_chest>,Small Storage Crate
<actuallyadditions:block_giant_chest_large>,Large Storage Crate
<actuallyadditions:block_giant_chest_medium>,Medium Storage Crate
<actuallyadditions:block_greenhouse_glass>,Greenhouse Glass
<actuallyadditions:block_grinder>,Crusher
<actuallyadditions:block_grinder_double>,Double Crusher
<actuallyadditions:block_heat_collector>,Heat Collector
<actuallyadditions:block_inputter>,ESD
<actuallyadditions:block_inputter_advanced>,Advanced ESD
<actuallyadditions:block_item_repairer>,Item Repairer
<actuallyadditions:block_item_viewer>,Item Interface
<actuallyadditions:block_item_viewer_hopping>,Hopping Item Interface
<actuallyadditions:block_lamp_powerer>,Lamp Controller
<actuallyadditions:block_laser_relay>,Energy Laser Relay
<actuallyadditions:block_laser_relay_advanced>,Advanced Energy Laser Relay
<actuallyadditions:block_laser_relay_extreme>,Extreme Energy Laser Relay
<actuallyadditions:block_laser_relay_fluids>,Fluid Laser Relay
<actuallyadditions:block_laser_relay_item>,Item Laser Relay
<actuallyadditions:block_laser_relay_item_whitelist>,Advanced Item Laser Relay
<actuallyadditions:block_lava_factory_controller>,Lava Factory Controller
<actuallyadditions:block_leaf_generator>,Leaf-Eating Generator
<actuallyadditions:block_miner>,Vertical Digger
<actuallyadditions:block_misc>,Pillar of Black Quartz
<actuallyadditions:block_misc:1>,Chiseled Block of Black Quartz
<actuallyadditions:block_misc:2>,Block of Black Quartz
<actuallyadditions:block_misc:3>,Black Quartz Ore
<actuallyadditions:block_misc:4>,Wood Casing
<actuallyadditions:block_misc:5>,Block of Charcoal
<actuallyadditions:block_misc:6>,Block of Enderpearl
<actuallyadditions:block_misc:7>,Casing
<actuallyadditions:block_misc:8>,Ender Casing
<actuallyadditions:block_misc:9>,Aluminium Casing
<actuallyadditions:block_oil_generator>,Oil Generator
<actuallyadditions:block_phantom_booster>,Phantom Booster
<actuallyadditions:block_phantom_breaker>,Phantom Breaker
<actuallyadditions:block_phantom_energyface>,Phantom Energyface
<actuallyadditions:block_phantom_liquiface>,Phantom Liquiface
<actuallyadditions:block_phantom_placer>,Phantom Placer
<actuallyadditions:block_phantom_redstoneface>,Phantom Redstoneface
<actuallyadditions:block_phantomface>,Phantomface
<actuallyadditions:block_pillar_quartz_slab>,Black Quartz Pillar Slab
<actuallyadditions:block_pillar_quartz_stair>,Black Quartz Pillar Stairs
<actuallyadditions:block_pillar_quartz_wall>,Black Quartz Pillar Wall
<actuallyadditions:block_placer>,Auto-Placer
<actuallyadditions:block_player_interface>,Player Interface
<actuallyadditions:block_quartz_slab>,Black Quartz Slab
<actuallyadditions:block_quartz_stair>,Black Quartz Stairs
<actuallyadditions:block_quartz_wall>,Black Quartz Wall
<actuallyadditions:block_ranged_collector>,Ranged Collector
<actuallyadditions:block_refined_canola_oil>,Refined Canola Oil
<actuallyadditions:block_rice>,Rice Plant
<actuallyadditions:block_shock_suppressor>,Shock Absorber
<actuallyadditions:block_smiley_cloud>,Smiley Cloud
<actuallyadditions:block_testifi_bucks_green_fence>,Ethetic Green Wall
<actuallyadditions:block_testifi_bucks_green_slab>,Ethetic Green Slab
<actuallyadditions:block_testifi_bucks_green_stairs>,Ethetic Green Stairs
<actuallyadditions:block_testifi_bucks_green_wall>,Ethetic Green Block
<actuallyadditions:block_testifi_bucks_white_fence>,Ethetic Quartz Wall
<actuallyadditions:block_testifi_bucks_white_slab>,Ethetic Quartz Slab
<actuallyadditions:block_testifi_bucks_white_stairs>,Ethetic Quartz Stairs
<actuallyadditions:block_testifi_bucks_white_wall>,Ethetic Quartz
<actuallyadditions:block_tiny_torch>,Tiny Torch
<actuallyadditions:block_treasure_chest>,Treasure Chest
<actuallyadditions:block_wild>,Wild Canola
<actuallyadditions:block_xp_solidifier>,Experience Solidifier
<actuallyadditions:item_bag>,Traveler's Sack
<actuallyadditions:item_battery>.withTag({Energy: 200000}),Single Battery
<actuallyadditions:item_battery>.withTag({Energy: 0}),Single Battery
<actuallyadditions:item_battery_double>.withTag({Energy: 350000}),Double Battery
<actuallyadditions:item_battery_double>.withTag({Energy: 0}),Double Battery
<actuallyadditions:item_battery_quadruple>.withTag({Energy: 1000000}),Quadruple Battery
<actuallyadditions:item_battery_quadruple>.withTag({Energy: 0}),Quadruple Battery
<actuallyadditions:item_battery_quintuple>.withTag({Energy: 2000000}),Quintuple Battery
<actuallyadditions:item_battery_quintuple>.withTag({Energy: 0}),Quintuple Battery
<actuallyadditions:item_battery_triple>.withTag({Energy: 600000}),Triple Battery
<actuallyadditions:item_battery_triple>.withTag({Energy: 0}),Triple Battery
<actuallyadditions:item_booklet>,Actually Additions Manual
<actuallyadditions:item_canola_seed>,Canola Seeds
<actuallyadditions:item_chest_to_crate_upgrade>,Chest To Storage Crate Upgrade
<actuallyadditions:item_coffee>,Cup with Coffee
<actuallyadditions:item_coffee_beans>,Coffee Beans
<actuallyadditions:item_coffee_seed>,Coffee Seeds
<actuallyadditions:item_color_lens>,Lens of Color
<actuallyadditions:item_crafter_on_a_stick>,Crafting Table On A Stick
<actuallyadditions:item_crate_keeper>,Storage Crate Keeper
<actuallyadditions:item_crystal>,Restonia Crystal
<actuallyadditions:item_crystal:1>,Palis Crystal
<actuallyadditions:item_crystal:2>,Diamatine Crystal
<actuallyadditions:item_crystal:3>,Void Crystal
<actuallyadditions:item_crystal:4>,Emeradic Crystal
<actuallyadditions:item_crystal:5>,Enori Crystal
<actuallyadditions:item_crystal_empowered>,Empowered Restonia Crystal
<actuallyadditions:item_crystal_empowered:1>,Empowered Palis Crystal
<actuallyadditions:item_crystal_empowered:2>,Empowered Diamatine Crystal
<actuallyadditions:item_crystal_empowered:3>,Empowered Void Crystal
<actuallyadditions:item_crystal_empowered:4>,Empowered Emeradic Crystal
<actuallyadditions:item_crystal_empowered:5>,Empowered Enori Crystal
<actuallyadditions:item_crystal_shard>,Red Crystal Shard
<actuallyadditions:item_crystal_shard:1>,Blue Crystal Shard
<actuallyadditions:item_crystal_shard:2>,Light Blue Crystal Shard
<actuallyadditions:item_crystal_shard:3>,Black Crystal Shard
<actuallyadditions:item_crystal_shard:4>,Green Crystal Shard
<actuallyadditions:item_crystal_shard:5>,White Crystal Shard
<actuallyadditions:item_damage_lens>,Lens of Certain Death
<actuallyadditions:item_disenchanting_lens>,Lens of Disenchanting
<actuallyadditions:item_drill>.withTag({Energy: 250000}),Drill
<actuallyadditions:item_drill>.withTag({Energy: 0}),Drill
<actuallyadditions:item_drill:1>.withTag({Energy: 250000}),Drill
<actuallyadditions:item_drill:1>.withTag({Energy: 0}),Drill
<actuallyadditions:item_drill:2>.withTag({Energy: 250000}),Drill
<actuallyadditions:item_drill:2>.withTag({Energy: 0}),Drill
<actuallyadditions:item_drill:3>.withTag({Energy: 250000}),Drill
<actuallyadditions:item_drill:3>.withTag({Energy: 0}),Drill
<actuallyadditions:item_drill:4>.withTag({Energy: 250000}),Drill
<actuallyadditions:item_drill:4>.withTag({Energy: 0}),Drill
<actuallyadditions:item_drill:5>.withTag({Energy: 250000}),Drill
<actuallyadditions:item_drill:5>.withTag({Energy: 0}),Drill
<actuallyadditions:item_drill:6>.withTag({Energy: 250000}),Drill
<actuallyadditions:item_drill:6>.withTag({Energy: 0}),Drill
<actuallyadditions:item_drill:7>.withTag({Energy: 250000}),Drill
<actuallyadditions:item_drill:7>.withTag({Energy: 0}),Drill
<actuallyadditions:item_drill:8>.withTag({Energy: 250000}),Drill
<actuallyadditions:item_drill:8>.withTag({Energy: 0}),Drill
<actuallyadditions:item_drill:9>.withTag({Energy: 250000}),Drill
<actuallyadditions:item_drill:9>.withTag({Energy: 0}),Drill
<actuallyadditions:item_drill:10>.withTag({Energy: 250000}),Drill
<actuallyadditions:item_drill:10>.withTag({Energy: 0}),Drill
<actuallyadditions:item_drill:11>.withTag({Energy: 250000}),Drill
<actuallyadditions:item_drill:11>.withTag({Energy: 0}),Drill
<actuallyadditions:item_drill:12>.withTag({Energy: 250000}),Drill
<actuallyadditions:item_drill:12>.withTag({Energy: 0}),Drill
<actuallyadditions:item_drill:13>.withTag({Energy: 250000}),Drill
<actuallyadditions:item_drill:13>.withTag({Energy: 0}),Drill
<actuallyadditions:item_drill:14>.withTag({Energy: 250000}),Drill
<actuallyadditions:item_drill:14>.withTag({Energy: 0}),Drill
<actuallyadditions:item_drill:15>.withTag({Energy: 250000}),Drill
<actuallyadditions:item_drill:15>.withTag({Energy: 0}),Drill
<actuallyadditions:item_drill_upgrade_block_placing>,Drill Block Placing Augment
<actuallyadditions:item_drill_upgrade_five_by_five>,Drill Mining Augment II
<actuallyadditions:item_drill_upgrade_fortune>,Drill Fortune Augment I
<actuallyadditions:item_drill_upgrade_fortune_ii>,Drill Fortune Augment II (Gives Fortune III!)
<actuallyadditions:item_drill_upgrade_silk_touch>,Drill Silk Touch Augment
<actuallyadditions:item_drill_upgrade_speed>,Drill Speed Augment I
<actuallyadditions:item_drill_upgrade_speed_ii>,Drill Speed Augment II
<actuallyadditions:item_drill_upgrade_speed_iii>,Drill Speed Augment III
<actuallyadditions:item_drill_upgrade_three_by_three>,Drill Mining Augment I
<actuallyadditions:item_dust>,Crushed Iron
<actuallyadditions:item_dust:1>,Crushed Gold
<actuallyadditions:item_dust:2>,Crushed Diamond
<actuallyadditions:item_dust:3>,Crushed Emerald
<actuallyadditions:item_dust:4>,Crushed Lapis
<actuallyadditions:item_dust:5>,Crushed Quartz
<actuallyadditions:item_dust:6>,Crushed Coal
<actuallyadditions:item_dust:7>,Crushed Black Quartz
<actuallyadditions:item_engineer_goggles>,Engineer's Goggles
<actuallyadditions:item_engineer_goggles_advanced>,Engineer's Infrared Goggles
<actuallyadditions:item_explosion_lens>,Lens of Detonation
<actuallyadditions:item_fertilizer>,Fertilizer
<actuallyadditions:item_filling_wand>.withTag({Energy: 500000}),Handheld Filler
<actuallyadditions:item_filling_wand>.withTag({Energy: 0}),Handheld Filler
<actuallyadditions:item_filter>,Item Filter
<actuallyadditions:item_flax_seed>,Flax Seeds
<actuallyadditions:item_food>,Cheese
<actuallyadditions:item_food:1>,Pumpkin Stew
<actuallyadditions:item_food:2>,Carrot Juice
<actuallyadditions:item_food:3>,Fish 'N' Chips
<actuallyadditions:item_food:4>,French Fries
<actuallyadditions:item_food:5>,French Fry
<actuallyadditions:item_food:6>,Spaghetti
<actuallyadditions:item_food:7>,Noodle
<actuallyadditions:item_food:8>,Chocolate Cake
<actuallyadditions:item_food:9>,Chocolate
<actuallyadditions:item_food:10>,Toast
<actuallyadditions:item_food:11>,Submarine Sandwich
<actuallyadditions:item_food:12>,Big Cookie
<actuallyadditions:item_food:13>,Hamburger
<actuallyadditions:item_food:14>,Pizza
<actuallyadditions:item_food:15>,Baguette
<actuallyadditions:item_food:16>,Rice
<actuallyadditions:item_food:17>,Rice Bread
<actuallyadditions:item_food:18>,Doughnut
<actuallyadditions:item_food:19>,Toast o' Chocolate
<actuallyadditions:item_food:20>,Bacon
<actuallyadditions:item_growth_ring>.withTag({Energy: 1000000}),Ring of Growth
<actuallyadditions:item_growth_ring>.withTag({Energy: 0}),Ring of Growth
<actuallyadditions:item_hairy_ball>,Ball of Fur
<actuallyadditions:item_jam>,CuBaRa-Jam
<actuallyadditions:item_jam:1>,GraKiBa-Jam
<actuallyadditions:item_jam:2>,PlApLe-Jam
<actuallyadditions:item_jam:3>,ChApCi-Jam
<actuallyadditions:item_jam:4>,HoMeKi-Jam
<actuallyadditions:item_jam:5>,PiCo-Jam
<actuallyadditions:item_jam:6>,HoMeCo-Jam
<actuallyadditions:item_knife>,Knife
<actuallyadditions:item_laser_upgrade_invisibility>,Laser Relay Modifier: Invisibility
<actuallyadditions:item_laser_upgrade_range>,Laser Relay Modifier: Range
<actuallyadditions:item_laser_wrench>,Laser Wrench
<actuallyadditions:item_leaf_blower>,Leaf Blower
<actuallyadditions:item_leaf_blower_advanced>,Advanced Leaf Blower
<actuallyadditions:item_medium_to_large_crate_upgrade>,Medium To Large Storage Crate Upgrade
<actuallyadditions:item_mining_lens>,Lens of the Miner
<actuallyadditions:item_misc>,Paper Cone
<actuallyadditions:item_misc:1>,Bio-Mash
<actuallyadditions:item_misc:2>,Knife Blade
<actuallyadditions:item_misc:3>,Knife Handle
<actuallyadditions:item_misc:4>,Dough
<actuallyadditions:item_misc:5>,Black Quartz
<actuallyadditions:item_misc:6>,Ring
<actuallyadditions:item_misc:7>,Basic Coil
<actuallyadditions:item_misc:8>,Advanced Coil
<actuallyadditions:item_misc:9>,Rice Dough
<actuallyadditions:item_misc:10>,Tiny Coal
<actuallyadditions:item_misc:11>,Tiny Charcoal
<actuallyadditions:item_misc:12>,Rice Slimeball
<actuallyadditions:item_misc:13>,Canola
<actuallyadditions:item_misc:14>,Empty Cup
<actuallyadditions:item_misc:15>,Bat's Wing
<actuallyadditions:item_misc:16>,Drill Core
<actuallyadditions:item_misc:17>,Black Dye
<actuallyadditions:item_misc:18>,Lens
<actuallyadditions:item_misc:19>,Ender Star
<actuallyadditions:item_misc:20>,Spawner Shards
<actuallyadditions:item_misc:21>,Biomass
<actuallyadditions:item_misc:22>,Bio Coal
<actuallyadditions:item_misc:23>,Crystallized Canola Seed
<actuallyadditions:item_misc:24>,Empowered Canola Seed
<actuallyadditions:item_more_damage_lens>,Lens of the Killer
<actuallyadditions:item_phantom_connector>,Phantom Connector
<actuallyadditions:item_player_probe>,Player Probe
<actuallyadditions:item_potion_ring>,Ring of Speed
<actuallyadditions:item_potion_ring>.withTag({Blaze: 800}),Ring of Speed
<actuallyadditions:item_potion_ring:1>,Ring of Haste
<actuallyadditions:item_potion_ring:1>.withTag({Blaze: 800}),Ring of Haste
<actuallyadditions:item_potion_ring:2>,Ring of Strength
<actuallyadditions:item_potion_ring:2>.withTag({Blaze: 800}),Ring of Strength
<actuallyadditions:item_potion_ring:3>,Ring of Jump Boost
<actuallyadditions:item_potion_ring:3>.withTag({Blaze: 800}),Ring of Jump Boost
<actuallyadditions:item_potion_ring:4>,Ring of Regeneration
<actuallyadditions:item_potion_ring:4>.withTag({Blaze: 800}),Ring of Regeneration
<actuallyadditions:item_potion_ring:5>,Ring of Resistance
<actuallyadditions:item_potion_ring:5>.withTag({Blaze: 800}),Ring of Resistance
<actuallyadditions:item_potion_ring:6>,Ring of Fire Resistance
<actuallyadditions:item_potion_ring:6>.withTag({Blaze: 800}),Ring of Fire Resistance
<actuallyadditions:item_potion_ring:7>,Ring of Water Breathing
<actuallyadditions:item_potion_ring:7>.withTag({Blaze: 800}),Ring of Water Breathing
<actuallyadditions:item_potion_ring:8>,Ring of Invisibility
<actuallyadditions:item_potion_ring:8>.withTag({Blaze: 800}),Ring of Invisibility
<actuallyadditions:item_potion_ring:9>,Ring of Night Vision
<actuallyadditions:item_potion_ring:9>.withTag({Blaze: 800}),Ring of Night Vision
<actuallyadditions:item_potion_ring_advanced>,Advanced Ring of Speed
<actuallyadditions:item_potion_ring_advanced>.withTag({Blaze: 800}),Advanced Ring of Speed
<actuallyadditions:item_potion_ring_advanced:1>,Advanced Ring of Haste
<actuallyadditions:item_potion_ring_advanced:1>.withTag({Blaze: 800}),Advanced Ring of Haste
<actuallyadditions:item_potion_ring_advanced:2>,Advanced Ring of Strength
<actuallyadditions:item_potion_ring_advanced:2>.withTag({Blaze: 800}),Advanced Ring of Strength
<actuallyadditions:item_potion_ring_advanced:3>,Advanced Ring of Jump Boost
<actuallyadditions:item_potion_ring_advanced:3>.withTag({Blaze: 800}),Advanced Ring of Jump Boost
<actuallyadditions:item_potion_ring_advanced:4>,Advanced Ring of Regeneration
<actuallyadditions:item_potion_ring_advanced:4>.withTag({Blaze: 800}),Advanced Ring of Regeneration
<actuallyadditions:item_potion_ring_advanced:5>,Advanced Ring of Resistance
<actuallyadditions:item_potion_ring_advanced:5>.withTag({Blaze: 800}),Advanced Ring of Resistance
<actuallyadditions:item_potion_ring_advanced:6>,Advanced Ring of Fire Resistance
<actuallyadditions:item_potion_ring_advanced:6>.withTag({Blaze: 800}),Advanced Ring of Fire Resistance
<actuallyadditions:item_potion_ring_advanced:7>,Advanced Ring of Water Breathing
<actuallyadditions:item_potion_ring_advanced:7>.withTag({Blaze: 800}),Advanced Ring of Water Breathing
<actuallyadditions:item_potion_ring_advanced:8>,Advanced Ring of Invisibility
<actuallyadditions:item_potion_ring_advanced:8>.withTag({Blaze: 800}),Advanced Ring of Invisibility
<actuallyadditions:item_potion_ring_advanced:9>,Advanced Ring of Night Vision
<actuallyadditions:item_potion_ring_advanced:9>.withTag({Blaze: 800}),Advanced Ring of Night Vision
<actuallyadditions:item_resonant_rice>,Resonant Rice
<actuallyadditions:item_rice_seed>,Rice Seeds
<actuallyadditions:item_small_to_medium_crate_upgrade>,Small To Medium Storage Crate Upgrade
<actuallyadditions:item_solidified_experience>,Solidified Experience
<actuallyadditions:item_spawner_changer>,Spawner Changer
<actuallyadditions:item_suction_ring>.withTag({Energy: 200000}),Ring of Magnetizing
<actuallyadditions:item_suction_ring>.withTag({Energy: 0}),Ring of Magnetizing
<actuallyadditions:item_tele_staff>.withTag({Energy: 250000}),Teleport Staff
<actuallyadditions:item_tele_staff>.withTag({Energy: 0}),Teleport Staff
<actuallyadditions:item_void_bag>,Void Sack
<actuallyadditions:item_water_bowl>,Bowl of Water
<actuallyadditions:item_water_removal_ring>.withTag({Energy: 800000}),Ring of Liquid Banning
<actuallyadditions:item_water_removal_ring>.withTag({Energy: 0}),Ring of Liquid Banning
<actuallyadditions:item_wings_of_the_bats>,Wings Of The Bats
<actuallyadditions:item_worm>,Worm
<actuallyadditions:magnet_ring_bauble>.withTag({Energy: 200000}),Ring of Magnetizing
<actuallyadditions:magnet_ring_bauble>.withTag({Energy: 0}),Ring of Magnetizing
<actuallyadditions:potion_ring_advanced_bauble>,Advanced Ring of Speed
<actuallyadditions:potion_ring_advanced_bauble>.withTag({Blaze: 800}),Advanced Ring of Speed
<actuallyadditions:potion_ring_advanced_bauble:1>,Advanced Ring of Haste
<actuallyadditions:potion_ring_advanced_bauble:1>.withTag({Blaze: 800}),Advanced Ring of Haste
<actuallyadditions:potion_ring_advanced_bauble:2>,Advanced Ring of Strength
<actuallyadditions:potion_ring_advanced_bauble:2>.withTag({Blaze: 800}),Advanced Ring of Strength
<actuallyadditions:potion_ring_advanced_bauble:3>,Advanced Ring of Jump Boost
<actuallyadditions:potion_ring_advanced_bauble:3>.withTag({Blaze: 800}),Advanced Ring of Jump Boost
<actuallyadditions:potion_ring_advanced_bauble:4>,Advanced Ring of Regeneration
<actuallyadditions:potion_ring_advanced_bauble:4>.withTag({Blaze: 800}),Advanced Ring of Regeneration
<actuallyadditions:potion_ring_advanced_bauble:5>,Advanced Ring of Resistance
<actuallyadditions:potion_ring_advanced_bauble:5>.withTag({Blaze: 800}),Advanced Ring of Resistance
<actuallyadditions:potion_ring_advanced_bauble:6>,Advanced Ring of Fire Resistance
<actuallyadditions:potion_ring_advanced_bauble:6>.withTag({Blaze: 800}),Advanced Ring of Fire Resistance
<actuallyadditions:potion_ring_advanced_bauble:7>,Advanced Ring of Water Breathing
<actuallyadditions:potion_ring_advanced_bauble:7>.withTag({Blaze: 800}),Advanced Ring of Water Breathing
<actuallyadditions:potion_ring_advanced_bauble:8>,Advanced Ring of Invisibility
<actuallyadditions:potion_ring_advanced_bauble:8>.withTag({Blaze: 800}),Advanced Ring of Invisibility
<actuallyadditions:potion_ring_advanced_bauble:9>,Advanced Ring of Night Vision
<actuallyadditions:potion_ring_advanced_bauble:9>.withTag({Blaze: 800}),Advanced Ring of Night Vision
<advancedrocketry:advrocketmotor>,Advanced Rocket Engine
<advancedrocketry:airlock_door>,tile.smallAirlockDoor.name
<advancedrocketry:alienleaves>,Lightwood Leaves
<advancedrocketry:aliensapling>,Lightwood Sapling
<advancedrocketry:alienwood>,Wood
<advancedrocketry:altitudecontroller>,Altitude Controller
<advancedrocketry:arcfurnace>,Electric Arc Furnace
<advancedrocketry:asteroidchip>,Asteroid Chip
<advancedrocketry:astrobed>,tile.astroBed.name
<advancedrocketry:atmanalyser>,Atmosphere Analyzer
<advancedrocketry:basalt>,Basalt
<advancedrocketry:basiclasergun>,Basic Laser Gun
<advancedrocketry:beacon>,Beacon
<advancedrocketry:beaconfinder>,Beacon Finder
<advancedrocketry:biomescanner>,Biome Scanner
<advancedrocketry:blackholegenerator>,Black Hole Generator
<advancedrocketry:blastbrick>,HeatProof Brick
<advancedrocketry:blocklens>,Lens
<advancedrocketry:blockpump>,Fluid Pump
<advancedrocketry:bucketenrichedlava>,Tank of Enriched Lava
<advancedrocketry:buckethydrogen>,Tank of Hydrogen
<advancedrocketry:bucketnitrogen>,Tank of Nitrogen
<advancedrocketry:bucketoxygen>,Tank of Oxygen
<advancedrocketry:bucketrocketfuel>,Tank of Rocket Fuel
<advancedrocketry:carbonscrubbercartridge>,Carbon Collection Cartridge
<advancedrocketry:centrifuge>,Centrifuge
<advancedrocketry:charcoallog>,Charcoal Log
<advancedrocketry:chemicalreactor>,Chemical Reactor
<advancedrocketry:circlelight>,Station Light
<advancedrocketry:concrete>,Concrete
<advancedrocketry:crystal>,Violet Crystal Block
<advancedrocketry:crystal:1>,Blue Crystal Block
<advancedrocketry:crystal:2>,Green Crystal Block
<advancedrocketry:crystal:3>,Red Crystal Block
<advancedrocketry:crystal:4>,Yellow Crystal Block
<advancedrocketry:crystal:5>,Orange Crystal Block
<advancedrocketry:crystallizer>,Crystallizer
<advancedrocketry:cuttingmachine>,Cutting Machine
<advancedrocketry:dataunit>,Data Storage Unit
<advancedrocketry:deployablerocketbuilder>,Unmanned Vehicle Assembler
<advancedrocketry:drill>,Drill
<advancedrocketry:electricmushroom>,Electric Mushroom
<advancedrocketry:electrolyser>,Electrolyser
<advancedrocketry:elevatorchip>,Space Elevator Chip
<advancedrocketry:forcefield>,Force Field
<advancedrocketry:forcefieldprojector>,Force Field Projector
<advancedrocketry:fuelingstation>,Fueling Station
<advancedrocketry:fueltank>,Liquid Fuel Tank
<advancedrocketry:geode>,Geode Block
